review_id,review_stars,word_count,lexical_diversity,correct_spell_ratio,price_included,procon_included,joy,love,affection,liking,enthusiasm,sadness,dislike,despair,horror,distress,FleschReadingEase,user_review_count,yelping_months,degree,betweenness,eigenvector,business_stars,business_review_count,class
bRGHgwAd3zfiiDMT9JyKcA,1,23,0.869565217,0.869565217,0,0,0,0,0,0,0,0,0,0,0,0,81.131,5,24,0,0,0,3,40,useful
TK-0pfhHorvwZK0YhDe2fQ,5,26,0.769230769,0.846153846,0,0,0,0,0,0,0,0,0,0,0,0,48.9568,22,6,1,0,0,4.5,319,useful
XTOQ6blQzzzoK26QRJl3zg,5,71,0.76056338,0.943661972,0.014084507,0,0,0,0,0,0,0,0,0,0,0,95.9393,10,14,0,0,0,4.5,535,not_useful
KA9VwKYL-7I2LuQnXeuEBw,5,74,0.689189189,0.905405405,0,0,0,0,0,0,0,0,0,0,0,0,86.9222,1,3,0,0,0,5,28,useful
C2kblEfR4oMWR9oGhYN2cQ,5,31,0.903225806,0.903225806,0,0,0,0,0,0,0,0,0,0,0,0,63.0018,19,40,0,0,0,3.5,84,useful
mTA_VwPiWw6cubKHAsrIkQ,5,32,0.875,0.8125,0.03125,0,0,0,0,0,0,0,0,0,0,0,83.5138,192,34,16,3.55E-05,0.006457231,5,19,useful
cnZI2W7C-D_w38WHMRer3w,1,124,0.572580645,0.959677419,0.008064516,0,0,0,0,0,0,0,0,0,0,0,79.5758,3,8,1,0,3.81E-06,4.5,692,useful
UlxgrLCL9WOjJL5hZ1Zd9A,2,374,0.631016043,0.882352941,0,0,0,0.002666667,0,0,0,0,0,0,0,0,70.6751,459,58,51,7.46E-06,0.024420777,4,47,useful
P5Sx85NU3sALCtbOx1Qgvg,2,45,0.888888889,0.777777778,0,0,0,0,0,0,0,0,0,0,0,0,91.7543,45,74,0,0,0,5,290,useful
Agb8ItmoRPyXPdQ8jLEgJw,4,60,0.633333333,0.883333333,0,0,0,0,0,0,0,0,0,0,0,0,77.6478,3,3,0,0,0,4.5,20,not_useful
g-JmmzYa4PDRKTWhuXPurg,5,21,0.761904762,0.952380952,0,0,0,0,0,0,0,0,0,0,0,0,74.015,246,80,1,0,0,4,122,not_useful
"""-jxAByrXxlQXMYbx-s37JQ""",5,97,0.762886598,0.804123711,0.010309278,0,0,0,0,0,0,0,0,0,0,0,63.5937,265,74,32,0.000133,0.017015534,4.5,168,useful
pvfpk0afGKhCm_6eHF2HUg,4,16,0.8125,1,0,0,0,0,0,0,0,0,0,0,0,0,63.4338,28,15,0,0,0,2.5,30,not_useful
64awIJhFkvTsi7HVgYYkpg,4,212,0.589622642,0.900943396,0,0,0,0,0,0,0,0,0,0,0,0,79.9034,10,3,0,0,0,4,446,not_useful
2-u_hm8jJmT6NmE2CXmEvw,4,20,0.85,0.95,0,0,0,0,0,0,0,0,0,0,0,0,106.745,4,5,4,1.04E-05,0.000377,3,136,not_useful
p9I2_QDn8FXRDlZmsYRe-w,1,37,0.783783784,0.810810811,0,0,0,0,0,0,0,0,0,0,0,0,63.1022,40,25,2,1.16E-06,0.000418,3.5,31,useful
ERv4db1Jd0qUkC0puEIwNg,5,42,0.785714286,0.880952381,0.023809524,0,0,0,0,0,0,0,0,0,0,0,89.8948,44,81,12,0.000107,0.001597511,4,569,useful
_GKA5Jp1kxxYkvJT1yTysw,1,45,0.822222222,0.911111111,0,0,0,0,0,0,0,0,0,0,0,0,76.9711,2,17,0,0,0,2.5,123,useful
Kd0fUE3pHbouy5PANkisxQ,4,170,0.658823529,0.835294118,0.011764706,0,0,0,0,0,0,0,0,0,0,0,68.1763,1261,76,12,8.81E-05,0.001897948,3.5,4967,useful
b_XQ2S7qomhBtqTEi3EKIQ,2,81,0.802469136,0.901234568,0.037037037,0,0,0,0,0,0,0,0,0,0,0,83.4026,3,8,0,0,0,4,60,not_useful
gy_nkKU9fLI5fUXaLL5Kkw,3,55,0.690909091,0.890909091,0,1,0,0,0,0,0,0,0,0,0,0,64.5583,170,4,1,0,7.53E-05,2.5,122,useful
IYmaYQA0vXEQyuHyhGr4zA,4,152,0.671052632,0.947368421,0,0,0,0.006535948,0,0,0,0,0,0,0,0,80.3981,200,63,36,0.000309,0.005677952,4,3086,useful
3aRBs5Tg1OvLuKlNcnIyXg,3,21,0.952380952,0.857142857,0,0,0,0,0,0,0,0,0,0,0,0,89.2326,3,3,0,0,0,4,745,not_useful
